locality,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABBOTSFORD,714000,792500,862500,925000,1187500,1280000,1192500,1050000,1200000,1365000,1341500
ABERFELDIE,852500,947500,1045000,1207500,1300000,1471000,1498500,1390000,1520000,1858000,1860000
AINTREE,,,,600000,600000,571000,557500,575000,630000,719000,760000
AIREYS INLET,634000,664000,625500,680000,715000,737500,869000,985000,1132500,1775000,1725000
AIRPORT WEST,495000,532000,575000,635000,742000,845000,845000,795000,812500,965000,926500
ALBANVALE,310000,313000,328000,345000,439000,526500,546000,512000,545000,610000,600000
ALBERT PARK,1270000,1360000,1503000,1700000,1775000,2150000,2070000,1990000,1895000,2355000,2475000
ALBION,379500,379000,432000,481000,593000,730000,755000,675000,727500,832500,830000
ALEXANDRA,239000,261000,247500,285000,275000,291500,335000,325000,380000,440000,550000
ALFREDTON,340000,361500,362000,340500,375000,412500,439000,480000,512000,605000,650000
ALLANSFORD,257500,310000,242500,259000,275000,280000,245000,300000,371000,445000,573500
ALPHINGTON,1000000,1080000,1029000,1296500,1272500,1560000,1612500,1455000,1865000,2280000,2195000
ALTONA,570000,572500,646500,718000,829000,950000,932500,890000,914000,1160000,1175000
ALTONA EAST,550000,561000,603000,650000,795000,885000,902000,855000,870000,980000,1080000
ALTONA MEADOWS,375000,390000,413000,440000,495000,625000,631500,615000,640000,720000,740000
ALTONA NORTH,484000,510000,555000,645000,726000,828000,830000,790000,832500,960000,957500
ANGLESEA,587500,550000,612500,635000,652500,788000,870000,915000,1100000,1440000,1717500
APOLLO BAY,432500,450000,457500,435000,480000,545000,555000,600000,710000,929000,1000000
ARARAT,165000,180000,200000,210000,204500,199000,199000,215000,244000,313000,381000
ARDEER,342500,330000,360000,381500,517500,595000,629000,572000,615000,719000,682000
ARMADALE,1500000,1675000,1750000,2172500,2364000,2300000,2341500,2490000,2625000,2700000,2714500
ARMSTRONG CREEK,362500,467500,441500,440000,450000,471000,535000,529500,545500,660000,720000
ASCOT (GREATER BENDIGO),350000,349500,344500,349000,370000,358000,380000,415500,470000,562500,595000
ASCOT VALE,701500,735000,810000,885000,1010000,1185000,1197500,1098500,1250000,1300000,1315000
ASHBURTON,870000,1000000,1200000,1435000,1567500,1812500,1712500,1641500,1600000,2000000,2005000
ASHWOOD,681000,775000,888000,1140000,1230000,1359000,1210000,1100000,1250500,1450000,1585000
ASPENDALE,610000,620000,690000,795500,891000,1125000,980000,994000,1120000,1321500,1420000
ASPENDALE GARDENS,552000,586500,632000,715000,775000,882500,935000,844000,970000,1130500,1150000
ATTWOOD,500000,540000,515000,620000,660000,742500,750000,767500,750000,970000,990500
AVENEL,230500,231000,302000,245000,250000,355000,349000,370000,450000,455000,497500
AVOCA,181500,182500,180000,182500,165000,212500,220000,219500,290000,325000,375000
AVONDALE HEIGHTS,536000,532500,560000,650000,750000,845500,830000,810000,842500,965500,990000
AVONSLEIGH,345000,420000,355000,397500,501000,562000,540000,532500,615000,752500,837500
AXEDALE,302500,240000,357500,327500,340000,350000,355000,387500,390000,505000,520000
BACCHUS MARSH,325000,335500,348000,355000,376000,415500,480000,500000,520000,597000,665000
BADGER CREEK,295000,315000,325000,345000,379000,465000,500000,498000,550000,665000,715000
BAIRNSDALE,231000,235000,244000,246500,255000,272500,279000,274000,290000,350000,440000
BALACLAVA,717500,860500,942000,1100000,1242500,1385500,1190000,1405000,1418000,1550000,1527000
BALCOMBE,686000,710000,737000,871000,950000,1100000,1240000,1125000,1300000,1750000,1852500
BALLAN,305000,352000,330000,359000,370000,417000,462000,450000,505000,603500,640000
BALLARAT CENTRAL,313500,322000,327500,353000,385000,430000,447500,515000,560000,710000,680000
BALLARAT EAST,255000,265000,265000,275000,295000,310000,340000,360000,398000,490000,530000
BALLARAT NORTH,280000,296000,312000,315000,339500,346500,389000,417500,425000,566500,627500
BALNARRING,501500,525000,544000,595000,670000,815000,814500,825000,938500,1275000,1327500
BALNARRING BEACH,660000,750000,700000,887500,904000,890000,1115000,1275000,1250000,1635000,1885000
BALWYN,1295000,1530000,1780000,2210000,2180000,2340000,2420000,2377500,2260000,2750000,2850500
BALWYN NORTH,997500,1240000,1452000,1850000,1800000,1950000,1810000,1720000,1900000,2252500,2230000
