Year,Suburb,Median,,,,,,,,,,,
2022,TOORAK,6200000,,,,,,,,,,,
2022,CANTERBURY,3490000,,,,,,,,,,,
2022,BRIGHTON,3450000,,,,,,,,,,,
2022,EAST MELBOURNE,3127500,,,,,,,,,,,
2022,MALVERN,3020000,,,,,,,,,,,
2021,TOORAK,6320000,,,,,,,,,,,
2021,BRIGHTON,3522500,,,,,,,,,,,
2021,CANTERBURY,3388000,,,,,,,,,,,
2021,EAST MELBOURNE,3300000,,,,,,,,,,,
2021,ST KILDA WEST,3300000,,,,,,,,,,,
2020,TOORAK,5500000,,,,,,,,,,,
2020,DEEPDENE,3150000,,,,,,,,,,,
2020,BRIGHTON,3148500,,,,,,,,,,,
2020,MALVERN,2865000,,,,,,,,,,,
2020,CANTERBURY,2705000,,,,,,,,,,,
2019,TOORAK,4550000,,,,,,,,,,,
2019,CANTERBURY,2902500,,,,,,,,,,,
2019,DEEPDENE,2858000,,,,,,,,,,,
2019,MIDDLE PARK,2775000,,,,,,,,,,,
2019,BRIGHTON,2675000,,,,,,,,,,,
2018,TOORAK,4700000,,,,,,,,,,,
2018,BRIGHTON,2888000,,,,,,,,,,,
2018,DEEPDENE,2692500,,,,,,,,,,,
2018,MIDDLE PARK,2685000,,,,,,,,,,,
2018,EAST MELBOURNE,2675000,,,,,,,,,,,
2017,TOORAK,4700000,,,,,,,,,,,
2017,BRIGHTON,2888000,,,,,,,,,,,
2017,DEEPDENE,2692500,,,,,,,,,,,
2017,EAST MELBOURNE,2675000,,,,,,,,,,,
2017,CANTERBURY,2533000,,,,,,,,,,,
2016,TOORAK,4900000,,,,,,,,,,,
2016,EAST MELBOURNE,3655000,,,,,,,,,,,
2016,BRIGHTON,2740000,,,,,,,,,,,
2016,CANTERBURY,2620000,,,,,,,,,,,
2016,DEEPDENE,2600000,,,,,,,,,,,
2015,TOORAK,3987500,,,,,,,,,,,
2015,EAST MELBOURNE,2750000,,,,,,,,,,,
2015,CANTERBURY,2523000,,,,,,,,,,,
2015,DEEPDENE,2750000,,,,,,,,,,,
2015,MIDDLE PARK,2317000,,,,,,,,,,,
2014,TOORAK,3391000,,,,,,,,,,,
2014,ST KILDA WEST,2235000,,,,,,,,,,,
2014,DEEPDENE,2215000,,,,,,,,,,,
2014,MIDDLE PARK,2125000,,,,,,,,,,,
2014,CANTERBURY,2100000,,,,,,,,,,,
2013,TOORAK,2875000,,,,,,,,,,,
2013,DEEPDENE,1981000,,,,,,,,,,,
2013,CANTERBURY,1950000,,,,,,,,,,,
2013,BRIGHTON,1802500,,,,,,,,,,,
2013,EAST MELBOURNE,1790000,,,,,,,,,,,
2012,TOORAK,2775000,,,,,,,,,,,
2012,EAST MELBOURNE,2480000,,,,,,,,,,,
2012,DEEPDENE,1875000,,,,,,,,,,,
2012,CANTERBURY,1790000,,,,,,,,,,,
2012,BRIGHTON,1789500,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
