locality,state,long,lat,latlong
EAST MELBOURNE,VIC,144.982207,-37.818517,[144.982207 -37.818517]
WEST MELBOURNE,VIC,144.949592,-37.810871,[144.949592 -37.810871]
FOOTSCRAY,VIC,144.907953,-37.807101,[144.907953 -37.807101]
SEDDON,VIC,144.907953,-37.807101,[144.907953 -37.807101]
BROOKLYN,VIC,144.861162,-37.807135,[144.861162 -37.807135]
KINGSVILLE,VIC,144.861162,-37.807135,[144.861162 -37.807135]
MAIDSTONE,VIC,144.861162,-37.807135,[144.861162 -37.807135]
WEST FOOTSCRAY,VIC,144.861162,-37.807135,[144.861162 -37.807135]
YARRAVILLE,VIC,144.888686,-37.814183,[144.888686 -37.814183]
NEWPORT,VIC,144.880556,-37.838242,[144.880556 -37.838242]
SOUTH KINGSVILLE,VIC,144.880556,-37.838242,[144.880556 -37.838242]
SPOTSWOOD,VIC,144.880556,-37.838242,[144.880556 -37.838242]
WILLIAMSTOWN,VIC,144.888461,-37.863743,[144.888461 -37.863743]
WILLIAMSTOWN NORTH,VIC,144.888461,-37.863743,[144.888461 -37.863743]
ALTONA,VIC,144.812736,-37.86172,[144.812736 -37.86172]
SEAHOLME,VIC,144.812736,-37.86172,[144.812736 -37.86172]
BRAYBROOK,VIC,144.854014,-37.784683,[144.854014 -37.784683]
ALBION,VIC,144.829945,-37.777204,[144.829945 -37.777204]
SUNSHINE,VIC,144.829945,-37.777204,[144.829945 -37.777204]
SUNSHINE NORTH,VIC,144.829945,-37.777204,[144.829945 -37.777204]
SUNSHINE WEST,VIC,144.829945,-37.777204,[144.829945 -37.777204]
ALBANVALE,VIC,144.796693,-37.743361,[144.796693 -37.743361]
KEALBA,VIC,144.796693,-37.743361,[144.796693 -37.743361]
KINGS PARK,VIC,144.796693,-37.743361,[144.796693 -37.743361]
ST ALBANS,VIC,144.796693,-37.743361,[144.796693 -37.743361]
ARDEER,VIC,144.793961,-37.795937,[144.793961 -37.795937]
BURNSIDE,VIC,144.770641,-37.78272,[144.770641 -37.78272]
BURNSIDE HEIGHTS,VIC,144.755657,-37.73218752,[144.755657 -37.73218752]
CAIRNLEA,VIC,144.770641,-37.78272,[144.770641 -37.78272]
CAROLINE SPRINGS,VIC,144.770641,-37.78272,[144.770641 -37.78272]
DEER PARK,VIC,144.770641,-37.78272,[144.770641 -37.78272]
MAMBOURIN,VIC,144.556552,-37.899873,[144.556552 -37.899873]
MANOR LAKES,VIC,144.5812323,-37.86694209,[144.5812323 -37.86694209]
WYNDHAM VALE,VIC,144.556552,-37.899873,[144.556552 -37.899873]
ALTONA EAST,VIC,144.839704,-37.835562,[144.839704 -37.835562]
ALTONA NORTH,VIC,144.839704,-37.835562,[144.839704 -37.835562]
DERRIMUT,VIC,144.64209,-37.91624,[144.64209 -37.91624]
WILLIAMS LANDING,VIC,144.7430155,-37.86199812,[144.7430155 -37.86199812]
ALTONA MEADOWS,VIC,144.777165,-37.875066,[144.777165 -37.875066]
LAVERTON,VIC,144.777165,-37.875066,[144.777165 -37.875066]
SEABROOK,VIC,144.777165,-37.875066,[144.777165 -37.875066]
HOPPERS CROSSING,VIC,144.705831,-37.837165,[144.705831 -37.837165]
TARNEIT,VIC,144.705831,-37.837165,[144.705831 -37.837165]
TRUGANINA,VIC,144.705831,-37.837165,[144.705831 -37.837165]
POINT COOK,VIC,144.64209,-37.91624,[144.64209 -37.91624]
WERRIBEE,VIC,144.64209,-37.91624,[144.64209 -37.91624]
WERRIBEE SOUTH,VIC,144.64209,-37.91624,[144.64209 -37.91624]
FLEMINGTON,VIC,144.923403,-37.79119,[144.923403 -37.79119]
KENSINGTON,VIC,144.923403,-37.79119,[144.923403 -37.79119]
ASCOT VALE,VIC,144.897221,-37.774486,[144.897221 -37.774486]
MARIBYRNONG,VIC,144.897221,-37.774486,[144.897221 -37.774486]
TRAVANCORE,VIC,144.897221,-37.774486,[144.897221 -37.774486]
KEILOR EAST,VIC,144.857638,-37.74107,[144.857638 -37.74107]
AVONDALE HEIGHTS,VIC,144.86194,-37.761235,[144.86194 -37.761235]
KEILOR,VIC,144.82246,-37.705324,[144.82246 -37.705324]
DELAHEY,VIC,144.780474,-37.715579,[144.780474 -37.715579]
SYDENHAM,VIC,144.780474,-37.715579,[144.780474 -37.715579]
TAYLORS HILL,VIC,144.780474,-37.715579,[144.780474 -37.715579]
KEILOR DOWNS,VIC,144.766873,-37.700454,[144.766873 -37.700454]
KEILOR LODGE,VIC,144.766873,-37.700454,[144.766873 -37.700454]
TAYLORS LAKES,VIC,144.766873,-37.700454,[144.766873 -37.700454]
MOONEE PONDS,VIC,144.922995,-37.766184,[144.922995 -37.766184]
ABERFELDIE,VIC,144.902556,-37.751845,[144.902556 -37.751845]
ESSENDON,VIC,144.902556,-37.751845,[144.902556 -37.751845]
ESSENDON WEST,VIC,144.902556,-37.751845,[144.902556 -37.751845]
ESSENDON NORTH,VIC,144.904815,-37.731464,[144.904815 -37.731464]
STRATHMORE,VIC,144.904815,-37.731464,[144.904815 -37.731464]
STRATHMORE HEIGHTS,VIC,144.904815,-37.731464,[144.904815 -37.731464]
AIRPORT WEST,VIC,144.866305,-37.727529,[144.866305 -37.727529]
KEILOR PARK,VIC,144.866305,-37.727529,[144.866305 -37.727529]
NIDDRIE,VIC,144.866305,-37.727529,[144.866305 -37.727529]
GLADSTONE PARK,VIC,144.888368,-37.691916,[144.888368 -37.691916]
GOWANBRAE,VIC,144.888368,-37.691916,[144.888368 -37.691916]
TULLAMARINE,VIC,144.888368,-37.691916,[144.888368 -37.691916]
PASCOE VALE,VIC,144.936356,-37.731138,[144.936356 -37.731138]
PASCOE VALE SOUTH,VIC,144.936356,-37.731138,[144.936356 -37.731138]
GLENROY,VIC,144.927968,-37.706578,[144.927968 -37.706578]
HADFIELD,VIC,144.927968,-37.706578,[144.927968 -37.706578]
OAK PARK,VIC,144.927968,-37.706578,[144.927968 -37.706578]
BROADMEADOWS,VIC,144.930247,-37.681105,[144.930247 -37.681105]
DALLAS,VIC,144.930247,-37.681105,[144.930247 -37.681105]
JACANA,VIC,144.930247,-37.681105,[144.930247 -37.681105]
COOLAROO,VIC,144.923609,-37.653917,[144.923609 -37.653917]
MEADOW HEIGHTS,VIC,144.923609,-37.653917,[144.923609 -37.653917]
ATTWOOD,VIC,144.888492,-37.673182,[144.888492 -37.673182]
WESTMEADOWS,VIC,144.888492,-37.673182,[144.888492 -37.673182]
NORTH MELBOURNE,VIC,144.943559,-37.8006,[144.943559 -37.8006]
PARKVILLE,VIC,144.948903,-37.788996,[144.948903 -37.788996]
CARLTON,VIC,144.966112,-37.803569,[144.966112 -37.803569]
CARLTON NORTH,VIC,144.96724,-37.786971,[144.96724 -37.786971]
PRINCES HILL,VIC,144.96724,-37.786971,[144.96724 -37.786971]
BRUNSWICK WEST,VIC,144.942222,-37.763584,[144.942222 -37.763584]
BRUNSWICK,VIC,144.960108,-37.766292,[144.960108 -37.766292]
BRUNSWICK EAST,VIC,144.97728,-37.770012,[144.97728 -37.770012]
COBURG,VIC,144.964524,-37.739901,[144.964524 -37.739901]
COBURG NORTH,VIC,144.964524,-37.739901,[144.964524 -37.739901]
GREENVALE,VIC,144.879626,-37.639887,[144.879626 -37.639887]
FAWKNER,VIC,144.967874,-37.707326,[144.967874 -37.707326]
CAMPBELLFIELD,VIC,144.956763,-37.666265,[144.956763 -37.666265]
CRAIGIEBURN,VIC,144.942199,-37.546522,[144.942199 -37.546522]
DONNYBROOK,VIC,144.942199,-37.546522,[144.942199 -37.546522]
KALKALLO,VIC,144.942199,-37.546522,[144.942199 -37.546522]
MICKLEHAM,VIC,144.942199,-37.546522,[144.942199 -37.546522]
ROXBURGH PARK,VIC,144.942199,-37.546522,[144.942199 -37.546522]
FITZROY,VIC,144.977795,-37.802608,[144.977795 -37.802608]
COLLINGWOOD,VIC,144.986906,-37.804846,[144.986906 -37.804846]
ABBOTSFORD,VIC,144.998203,-37.803515,[144.998203 -37.803515]
